id,date,wilaya,canal,texte_reclamation,categorie,sentiment,urgence,status,suggested_action
105036,14/9/2024,Ghardaïa,Site web,Demande d'assistance: image figée sur certaines chaines.,Assistance,Neutre,Basse,Nouveau,Fournir procédure pas-à -pas
105037,21/1/2025,Saïda,Centre d'appel,Demande d'assistance: erreur d'authentification lors de la connexion.,Coupure de ligne,Neutre,Moyenne,Clôturé,Redémarrage du modem
105038,8/6/2024,Constantine,Application mobile,"Demande d'assistance: problème lors de la résiliation, facturation continue.",Assistance,Neutre,élevée,Résolu,Redémarrage du modem
105039,29/9/2025,Alger,Centre d'appel,Incident: débit très faible en soirée.,Internet lent,Positif,Moyenne,Résolu,Ouverture dossier
105040,4/2/2024,Béjaïa,Centre d'appel,Demande d'assistance: modem ne se synchronise pas.,Internet lent,Neutre,Critique,Nouveau,Ouverture dossier
105041,17/5/2025,Ouargla,Application mobile,Réclamation: demande d'information sur l'offre et le contrat.,Coupure de ligne,Neutre,Moyenne,Escaladé,Envoi technicien
105042,25/11/2024,Sétif,Centre d'appel,"Abonné rapporte problème lors de la résiliation, facturation continue.",Télévision,Négatif,Moyenne,Résolu,Vérification facturation
105043,1/6/2025,Chlef,Email,Abonné rapporte image figée sur certaines chaines.,Configuration,Négatif,Moyenne,Résolu,Envoi technicien
105044,25/3/2024,Constantine,Centre d'appel,Abonné rapporte coupure de service depuis ce matin.,Internet lent,Neutre,Basse,En cours,Redémarrage du modem
105045,7/5/2024,Constantine,Centre d'appel,"Demande d'assistance: problème lors de la résiliation, facturation continue.",Facturation,Positif,élevée,En cours,Vérifier contrat
105046,28/2/2024,Skikda,Centre d'appel,Incident: débit très faible en soirée.,Internet lent,Négatif,Moyenne,En cours,Envoi technicien
105047,21/9/2024,Jijel,Centre d'appel,"Client signale montant facturé incorrectement, demande régularisation.",Installation,Neutre,élevée,En cours,Envoi technicien
105048,29/7/2024,Adrar,Centre d'appel,Abonné rapporte coupure de service depuis ce matin.,Internet lent,Neutre,élevée,En cours,Planifier rendez-vous
105049,23/12/2024,Boumerdès,Application mobile,Client signale erreur d'authentification lors de la connexion.,Facturation,Positif,Basse,Résolu,Vérifier contrat
105050,3/8/2025,Sétif,Site web,Incident: erreur d'authentification lors de la connexion.,Internet lent,Négatif,Basse,En cours,Vérifier contrat
105051,27/11/2024,Mostaganem,Application mobile,Réclamation: erreur d'authentification lors de la connexion.,Facturation,Négatif,Basse,En cours,Vérification facturation
105052,23/9/2025,Laghouat,Site web,Abonné rapporte image figée sur certaines chaines.,Problème matériel,Négatif,élevée,Résolu,Envoi technicien
105053,27/3/2025,Saïda,Application mobile,Demande d'assistance: modem ne se synchronise pas.,Résiliation,Neutre,Moyenne,Résolu,Planifier rendez-vous
105054,7/6/2024,Jijel,Centre d'appel,"Demande d'assistance: problème lors de la résiliation, facturation continue.",Résiliation,Négatif,élevée,Nouveau,Fournir procédure pas-à -pas
105055,9/7/2024,Annaba,Application mobile,Incident: bruit important sur la ligne téléphonique.,Internet lent,Négatif,Moyenne,En cours,Redémarrage du modem
105056,30/10/2024,Chlef,Centre d'appel,Réclamation: débit très faible en soirée.,Installation,Neutre,Basse,En cours,Planifier rendez-vous
105057,12/10/2024,Laghouat,Agence commerciale,Réclamation: demande d'information sur l'offre et le contrat.,Assistance,Positif,élevée,Résolu,Planifier rendez-vous
105058,10/8/2024,Annaba,Email,Client signale bruit important sur la ligne téléphonique.,Facturation,Positif,Basse,Résolu,Envoi technicien
105059,13/9/2025,Alger,Site web,Demande d'assistance: installation non réalisée dans les délais.,Internet lent,Négatif,Moyenne,En cours,Vérifier contrat
105060,11/5/2025,Tlemcen,Site web,Abonné rapporte image figée sur certaines chaines.,Facturation,Neutre,Basse,Résolu,Fournir procédure pas-à -pas
105061,31/8/2025,Alger,Site web,"Client signale problème lors de la résiliation, facturation continue.",Résiliation,Négatif,Basse,Nouveau,Redémarrage du modem
105062,19/2/2024,Batna,Application mobile,Client signale image figée sur certaines chaines.,Internet lent,Négatif,Moyenne,Nouveau,Planifier rendez-vous
105063,14/4/2024,Sétif,Site web,"Réclamation: montant facturé incorrectement, demande régularisation.",Résiliation,Négatif,Basse,Nouveau,Envoi technicien
105064,2/4/2025,Jijel,Centre d'appel,Réclamation: modem ne se synchronise pas.,Facturation,Négatif,Basse,En cours,Ouverture dossier
105065,12/2/2024,Mostaganem,Site web,Client signale débit très faible en soirée.,Internet lent,Négatif,Basse,Résolu,Redémarrage du modem
105066,7/3/2025,Tiaret,Centre d'appel,Abonné rapporte image figée sur certaines chaines.,Assistance,Négatif,Moyenne,Résolu,Redémarrage du modem
105067,1/2/2024,Tizi Ouzou,Site web,Client signale demande d'information sur l'offre et le contrat.,Coupure de ligne,Neutre,Basse,Résolu,Fournir procédure pas-à -pas
105068,19/6/2025,Oran,Site web,Demande d'assistance: demande d'information sur l'offre et le contrat.,Internet lent,Positif,Basse,En cours,Vérifier décodeur
105069,31/1/2025,Tizi Ouzou,Centre d'appel,Client signale coupure de service depuis ce matin.,Facturation,Négatif,élevée,Nouveau,Redémarrage du modem
105070,19/3/2024,Médéa,Site web,Client signale image figée sur certaines chaines.,Internet lent,Négatif,élevée,En cours,Envoi technicien
105071,1/3/2024,Béjaïa,Centre d'appel,Demande d'assistance: demande d'information sur l'offre et le contrat.,Installation,Négatif,Moyenne,Résolu,Redémarrage du modem
105072,15/1/2024,Sétif,Centre d'appel,Client signale modem ne se synchronise pas.,Internet lent,Neutre,Basse,Résolu,Redémarrage du modem
105073,28/12/2024,Boumerdès,Email,Client signale installation non réalisée dans les délais.,Problème matériel,Négatif,Moyenne,En cours,Vérification facturation
105074,20/4/2025,Adrar,Application mobile,Client signale coupure de service depuis ce matin.,Internet lent,Négatif,Basse,Clôturé,Envoi technicien
105075,12/5/2025,Annaba,Site web,Demande d'assistance: coupure de service depuis ce matin.,Coupure de ligne,Neutre,Critique,Résolu,Planifier rendez-vous
105076,3/9/2024,Skikda,Application mobile,"Abonné rapporte montant facturé incorrectement, demande régularisation.",Coupure de ligne,Neutre,Basse,Clôturé,Envoi technicien
105077,25/2/2024,Jijel,Application mobile,Client signale bruit important sur la ligne téléphonique.,Problème matériel,Négatif,Basse,Résolu,Vérification facturation
105078,9/7/2024,Sidi Bel Abbès,Centre d'appel,Abonné rapporte coupure de service depuis ce matin.,Facturation,Négatif,Basse,Nouveau,Envoi technicien
105079,3/2/2024,Msila,Email,Client signale erreur d'authentification lors de la connexion.,Internet lent,Négatif,Basse,Escaladé,Ouverture dossier
105080,13/6/2025,Tizi Ouzou,Centre d'appel,Incident: demande d'information sur l'offre et le contrat.,Coupure de ligne,Négatif,Moyenne,En cours,Vérifier contrat
105081,29/2/2024,Blida,Centre d'appel,"Client signale problème lors de la résiliation, facturation continue.",Problème matériel,Négatif,Moyenne,En cours,Fournir procédure pas-à -pas
105082,13/8/2025,Batna,Email,Client signale image figée sur certaines chaines.,Internet lent,Négatif,Moyenne,En cours,Vérifier contrat
105083,6/5/2025,Biskra,Application mobile,"Client signale problème lors de la résiliation, facturation continue.",Internet lent,Négatif,Moyenne,Résolu,Vérifier décodeur
105084,6/7/2025,Boumerdès,Centre d'appel,Réclamation: modem ne se synchronise pas.,Autre,Négatif,élevée,Nouveau,Envoi technicien
105085,13/10/2024,Tizi Ouzou,Centre d'appel,Abonné rapporte coupure de service depuis ce matin.,Facturation,Négatif,Critique,Escaladé,Fournir procédure pas-à -pas
105086,18/1/2025,Ouargla,Centre d'appel,Demande d'assistance: bruit important sur la ligne téléphonique.,Facturation,Négatif,Basse,Résolu,Envoi technicien
105087,11/10/2024,Tlemcen,Site web,Client signale demande d'information sur l'offre et le contrat.,Autre,Négatif,Basse,Escaladé,Vérifier décodeur
105088,7/1/2025,Annaba,Site web,Client signale modem ne se synchronise pas.,Autre,Négatif,Moyenne,Résolu,Vérifier décodeur
105089,3/10/2024,Sétif,Site web,"Abonné rapporte problème lors de la résiliation, facturation continue.",Installation,Positif,Basse,En cours,Planifier rendez-vous
105090,15/9/2025,Sidi Bel Abbès,Agence commerciale,Réclamation: bruit important sur la ligne téléphonique.,Internet lent,Négatif,Moyenne,En cours,Fournir procédure pas-à -pas
105091,26/8/2025,Sétif,Agence commerciale,"Demande d'assistance: montant facturé incorrectement, demande régularisation.",Résiliation,Neutre,Moyenne,En cours,Envoi technicien
105092,11/2/2025,Blida,Email,Abonné rapporte coupure de service depuis ce matin.,Coupure de ligne,Négatif,Moyenne,Résolu,Ouverture dossier
105093,26/5/2024,Adrar,Centre d'appel,"Abonné rapporte montant facturé incorrectement, demande régularisation.",Installation,Négatif,Basse,En cours,Vérification facturation
105094,11/6/2025,Laghouat,Email,Réclamation: erreur d'authentification lors de la connexion.,Coupure de ligne,Négatif,élevée,En cours,Planifier rendez-vous
105095,27/6/2025,Jijel,Centre d'appel,Réclamation: débit très faible en soirée.,Internet lent,Positif,Basse,Résolu,Redémarrage du modem
105096,5/4/2024,Chlef,Centre d'appel,Demande d'assistance: bruit important sur la ligne téléphonique.,Internet lent,Négatif,Critique,En cours,Envoi technicien
105097,7/7/2024,Sétif,Centre d'appel,Abonné rapporte coupure de service depuis ce matin.,Coupure de ligne,Négatif,Basse,Nouveau,Vérification facturation
105098,17/12/2024,Laghouat,Application mobile,Incident: modem ne se synchronise pas.,Télévision,Neutre,Basse,Résolu,Envoi technicien
105099,3/7/2024,Jijel,Centre d'appel,Demande d'assistance: erreur d'authentification lors de la connexion.,Autre,Négatif,Moyenne,Escaladé,Fournir procédure pas-à -pas
105100,7/1/2024,Tizi Ouzou,Centre d'appel,Réclamation: installation non réalisée dans les délais.,Internet lent,Neutre,Basse,Nouveau,Planifier rendez-vous
105101,19/9/2024,Adrar,Centre d'appel,"Incident: problème lors de la résiliation, facturation continue.",Coupure de ligne,Neutre,Moyenne,En cours,Envoi technicien
105102,1/5/2024,Jijel,Centre d'appel,Abonné rapporte erreur d'authentification lors de la connexion.,Coupure de ligne,Négatif,Basse,Résolu,Vérifier contrat
105103,15/10/2025,El Oued,Agence commerciale,Client signale bruit important sur la ligne téléphonique.,Autre,Positif,Basse,Nouveau,Redémarrage du modem
105104,11/4/2024,El Oued,Centre d'appel,Client signale installation non réalisée dans les délais.,Problème matériel,Négatif,Basse,Nouveau,Vérifier contrat
105105,14/12/2024,Tizi Ouzou,Agence commerciale,Client signale erreur d'authentification lors de la connexion.,Coupure de ligne,Négatif,Moyenne,Résolu,Vérification facturation
105106,11/3/2024,Biskra,Application mobile,"Réclamation: montant facturé incorrectement, demande régularisation.",Coupure de ligne,Négatif,Basse,Résolu,Vérification facturation
105107,25/7/2025,Médéa,Centre d'appel,Abonné rapporte bruit important sur la ligne téléphonique.,Coupure de ligne,Neutre,Moyenne,Résolu,Ouverture dossier
105108,25/8/2024,Biskra,Centre d'appel,Réclamation: demande d'information sur l'offre et le contrat.,Autre,Négatif,Basse,En cours,Fournir procédure pas-à -pas
105109,7/7/2024,Sétif,Agence commerciale,Réclamation: installation non réalisée dans les délais.,Facturation,Négatif,Moyenne,Nouveau,Redémarrage du modem
105110,16/3/2024,Tlemcen,Centre d'appel,Demande d'assistance: demande d'information sur l'offre et le contrat.,Internet lent,Positif,Basse,En cours,Vérifier contrat
105111,26/5/2024,Boumerdès,Centre d'appel,"Abonné rapporte problème lors de la résiliation, facturation continue.",Facturation,Négatif,Basse,En cours,Ouverture dossier
105112,18/11/2024,Sidi Bel Abbès,Centre d'appel,Incident: modem ne se synchronise pas.,Internet lent,Négatif,Moyenne,En cours,Envoi technicien
105113,5/8/2024,Alger,Centre d'appel,Client signale coupure de service depuis ce matin.,Télévision,Négatif,élevée,Nouveau,Vérification facturation
105114,1/6/2025,Médéa,Site web,Demande d'assistance: image figée sur certaines chaines.,Coupure de ligne,Négatif,Moyenne,Clôturé,Vérification facturation
105115,28/7/2025,Blida,Centre d'appel,"Réclamation: montant facturé incorrectement, demande régularisation.",Configuration,Positif,Basse,En cours,Envoi technicien
105116,5/3/2025,Sétif,Agence commerciale,Abonné rapporte image figée sur certaines chaines.,Facturation,Négatif,Basse,En cours,Envoi technicien
105117,13/6/2025,El Oued,Centre d'appel,Incident: modem ne se synchronise pas.,Problème matériel,Négatif,Moyenne,En cours,Vérifier contrat
105118,9/5/2024,Ghardaïa,Agence commerciale,Demande d'assistance: modem ne se synchronise pas.,Télévision,Neutre,Moyenne,Résolu,Vérification facturation
105119,10/6/2024,Relizane,Application mobile,Client signale modem ne se synchronise pas.,Télévision,Négatif,Critique,Escaladé,Vérification facturation
105120,13/8/2024,Béjaïa,Centre d'appel,Demande d'assistance: modem ne se synchronise pas.,Télévision,Négatif,Moyenne,En cours,Vérification facturation
105121,26/3/2025,Ouargla,Centre d'appel,"Client signale montant facturé incorrectement, demande régularisation.",Problème matériel,Positif,Moyenne,En cours,Vérifier décodeur
105122,4/3/2024,Alger,Site web,Incident: débit très faible en soirée.,Internet lent,Négatif,Moyenne,Résolu,Vérifier contrat
105123,24/2/2025,Laghouat,Agence commerciale,"Réclamation: montant facturé incorrectement, demande régularisation.",Coupure de ligne,Négatif,Moyenne,Nouveau,Envoi technicien
105124,28/2/2024,Saïda,Site web,Incident: erreur d'authentification lors de la connexion.,Facturation,Négatif,élevée,Résolu,Vérifier décodeur
105125,9/3/2025,Béjaïa,Application mobile,Incident: erreur d'authentification lors de la connexion.,Autre,Neutre,élevée,Nouveau,Vérifier contrat
105126,2/11/2024,Msila,Email,Demande d'assistance: coupure de service depuis ce matin.,Résiliation,Négatif,élevée,En cours,Planifier rendez-vous
105127,15/8/2025,Ouargla,Centre d'appel,Client signale bruit important sur la ligne téléphonique.,Coupure de ligne,Négatif,Basse,En cours,Vérifier contrat
105128,31/5/2024,Boumerdès,Site web,"Réclamation: problème lors de la résiliation, facturation continue.",Internet lent,Négatif,Critique,Résolu,Ouverture dossier
105129,21/11/2024,Msila,Site web,Incident: coupure de service depuis ce matin.,Assistance,Négatif,Basse,Résolu,Redémarrage du modem
105130,18/1/2024,Médéa,Centre d'appel,Incident: image figée sur certaines chaines.,Coupure de ligne,Neutre,Moyenne,En cours,Ouverture dossier
105131,25/9/2025,Chlef,Agence commerciale,Demande d'assistance: débit très faible en soirée.,Coupure de ligne,Négatif,Basse,En cours,Planifier rendez-vous
105132,8/1/2025,El Oued,Centre d'appel,Abonné rapporte coupure de service depuis ce matin.,Coupure de ligne,Négatif,Moyenne,Nouveau,Vérifier décodeur
105133,29/6/2024,Batna,Centre d'appel,Incident: modem ne se synchronise pas.,Coupure de ligne,Négatif,élevée,Résolu,Envoi technicien
105134,1/10/2024,Relizane,Centre d'appel,Réclamation: coupure de service depuis ce matin.,Coupure de ligne,Négatif,Moyenne,Résolu,Vérifier décodeur
105135,8/10/2024,Oran,Centre d'appel,Abonné rapporte coupure de service depuis ce matin.,Coupure de ligne,Neutre,Basse,En cours,Envoi technicien
105136,24/8/2024,Ghardaïa,Site web,Client signale erreur d'authentification lors de la connexion.,Télévision,Positif,Moyenne,En cours,Envoi technicien
105137,26/7/2024,Adrar,Centre d'appel,Demande d'assistance: débit très faible en soirée.,Coupure de ligne,Neutre,Basse,Résolu,Redémarrage du modem
105138,22/6/2025,Oran,Centre d'appel,Abonné rapporte débit très faible en soirée.,Configuration,Négatif,Basse,Nouveau,Planifier rendez-vous
105139,12/8/2024,Alger,Application mobile,Demande d'assistance: image figée sur certaines chaines.,Internet lent,Négatif,Moyenne,Nouveau,Planifier rendez-vous
105140,4/7/2025,Oran,Application mobile,"Réclamation: problème lors de la résiliation, facturation continue.",Coupure de ligne,Négatif,Moyenne,En cours,Redémarrage du modem
105141,30/11/2024,Ghardaïa,Centre d'appel,Abonné rapporte débit très faible en soirée.,Autre,Neutre,Basse,Résolu,Vérifier décodeur
105142,8/11/2024,Alger,Centre d'appel,Incident: modem ne se synchronise pas.,Coupure de ligne,Positif,élevée,En cours,Envoi technicien
105143,20/8/2025,Sétif,Centre d'appel,Client signale coupure de service depuis ce matin.,Résiliation,Négatif,Basse,Nouveau,Redémarrage du modem
105144,8/3/2024,Oran,Centre d'appel,Réclamation: bruit important sur la ligne téléphonique.,Résiliation,Neutre,Moyenne,En cours,Vérifier contrat
105145,28/6/2025,Blida,Site web,"Client signale problème lors de la résiliation, facturation continue.",Coupure de ligne,Négatif,élevée,En cours,Envoi technicien
105146,16/3/2024,Constantine,Site web,Abonné rapporte erreur d'authentification lors de la connexion.,Résiliation,Négatif,élevée,Clôturé,Planifier rendez-vous
105147,23/9/2024,Blida,Agence commerciale,Réclamation: débit très faible en soirée.,Configuration,Neutre,Basse,Résolu,Redémarrage du modem
105148,10/1/2024,Constantine,Email,"Abonné rapporte problème lors de la résiliation, facturation continue.",Installation,Négatif,Moyenne,En cours,Redémarrage du modem
105149,5/8/2025,Annaba,Site web,Client signale coupure de service depuis ce matin.,Internet lent,Négatif,Critique,Résolu,Vérification facturation
105150,1/12/2024,Oran,Site web,Client signale image figée sur certaines chaines.,Coupure de ligne,Négatif,Moyenne,Résolu,Redémarrage du modem
105151,26/1/2024,El Oued,Site web,Réclamation: erreur d'authentification lors de la connexion.,Internet lent,Négatif,Basse,Nouveau,Envoi technicien
105152,20/6/2025,Boumerdès,Centre d'appel,Réclamation: installation non réalisée dans les délais.,Télévision,Négatif,Basse,En cours,Vérifier décodeur
105153,12/6/2024,Laghouat,Agence commerciale,Demande d'assistance: coupure de service depuis ce matin.,Coupure de ligne,Négatif,Basse,Résolu,Vérification facturation
105154,15/10/2025,El Oued,Agence commerciale,Demande d'assistance: bruit important sur la ligne téléphonique.,Assistance,Négatif,Moyenne,Nouveau,Vérifier décodeur
105155,22/7/2025,Batna,Email,Incident: modem ne se synchronise pas.,Coupure de ligne,Négatif,Basse,Résolu,Vérifier contrat
105156,14/2/2024,Médéa,Email,Réclamation: erreur d'authentification lors de la connexion.,Coupure de ligne,Neutre,Basse,Résolu,Envoi technicien
105157,25/2/2024,Boumerdès,Application mobile,Abonné rapporte image figée sur certaines chaines.,Problème matériel,Négatif,Basse,Résolu,Planifier rendez-vous
105158,8/11/2024,Blida,Centre d'appel,Incident: demande d'information sur l'offre et le contrat.,Autre,Positif,Moyenne,Escaladé,Redémarrage du modem
105159,16/10/2024,Skikda,Centre d'appel,Réclamation: coupure de service depuis ce matin.,Résiliation,Négatif,Basse,En cours,Vérification facturation
105160,24/1/2025,Béjaïa,Email,"Abonné rapporte montant facturé incorrectement, demande régularisation.",Coupure de ligne,Neutre,Basse,Résolu,Vérifier décodeur
105161,17/9/2025,Médéa,Centre d'appel,Réclamation: installation non réalisée dans les délais.,Télévision,Négatif,Moyenne,Nouveau,Envoi technicien
105162,24/8/2024,Oran,Centre d'appel,Réclamation: installation non réalisée dans les délais.,Facturation,Neutre,Moyenne,Résolu,Vérification facturation
105163,3/6/2025,Médéa,Centre d'appel,Client signale installation non réalisée dans les délais.,Assistance,Négatif,Basse,Résolu,Envoi technicien
105164,18/6/2024,Batna,Centre d'appel,Demande d'assistance: coupure de service depuis ce matin.,Coupure de ligne,Négatif,Basse,Résolu,Planifier rendez-vous
105165,6/9/2025,Oran,Site web,"Client signale problème lors de la résiliation, facturation continue.",Assistance,Négatif,Moyenne,Nouveau,Vérifier décodeur
105166,23/8/2025,Ouargla,Centre d'appel,"Abonné rapporte montant facturé incorrectement, demande régularisation.",Facturation,Négatif,Moyenne,En cours,Vérifier contrat
105167,25/2/2024,Batna,Centre d'appel,"Demande d'assistance: problème lors de la résiliation, facturation continue.",Installation,Négatif,Moyenne,En cours,Envoi technicien
105168,19/8/2024,El Oued,Centre d'appel,Réclamation: modem ne se synchronise pas.,Internet lent,Neutre,élevée,Résolu,Ouverture dossier
105169,23/10/2024,Blida,Site web,"Demande d'assistance: montant facturé incorrectement, demande régularisation.",Coupure de ligne,Positif,Basse,Clôturé,Envoi technicien
105170,31/8/2024,Adrar,Application mobile,Réclamation: débit très faible en soirée.,Internet lent,Négatif,Moyenne,Nouveau,Envoi technicien
105171,13/9/2024,Tizi Ouzou,Centre d'appel,Incident: image figée sur certaines chaines.,Télévision,Neutre,Moyenne,Escaladé,Planifier rendez-vous
105172,11/12/2024,Constantine,Centre d'appel,"Client signale problème lors de la résiliation, facturation continue.",Configuration,Neutre,Basse,En cours,Ouverture dossier
105173,16/9/2024,El Oued,Centre d'appel,Abonné rapporte erreur d'authentification lors de la connexion.,Installation,Négatif,Basse,Résolu,Vérifier décodeur
105174,16/9/2024,Sétif,Centre d'appel,"Client signale problème lors de la résiliation, facturation continue.",Installation,Neutre,Basse,En cours,Redémarrage du modem
105175,19/9/2024,Blida,Application mobile,Incident: installation non réalisée dans les délais.,Internet lent,Neutre,élevée,Nouveau,Vérifier décodeur
105176,10/3/2025,Jijel,Centre d'appel,Réclamation: modem ne se synchronise pas.,Assistance,Négatif,Moyenne,Résolu,Envoi technicien
105177,3/9/2024,Saïda,Centre d'appel,Client signale débit très faible en soirée.,Assistance,Neutre,élevée,En cours,Envoi technicien
105178,18/6/2025,Blida,Centre d'appel,Demande d'assistance: bruit important sur la ligne téléphonique.,Configuration,Positif,Basse,En cours,Planifier rendez-vous
105179,18/6/2024,Annaba,Site web,Incident: installation non réalisée dans les délais.,Internet lent,Neutre,Moyenne,Résolu,Vérifier contrat
105180,24/8/2025,Béjaïa,Centre d'appel,Réclamation: débit très faible en soirée.,Internet lent,Neutre,Basse,Nouveau,Planifier rendez-vous
105181,2/9/2024,Tiaret,Email,Incident: débit très faible en soirée.,Facturation,Négatif,Moyenne,En cours,Vérifier contrat
105182,24/4/2024,Boumerdès,Email,Incident: modem ne se synchronise pas.,Internet lent,Négatif,Moyenne,Résolu,Envoi technicien
105183,4/1/2025,Oran,Agence commerciale,"Client signale problème lors de la résiliation, facturation continue.",Configuration,Négatif,Moyenne,Résolu,Planifier rendez-vous
105184,15/9/2024,Batna,Application mobile,"Réclamation: montant facturé incorrectement, demande régularisation.",Coupure de ligne,Négatif,Moyenne,Résolu,Vérifier décodeur
105185,12/3/2025,Batna,Centre d'appel,Abonné rapporte demande d'information sur l'offre et le contrat.,Coupure de ligne,Négatif,Basse,Résolu,Vérifier contrat
105186,31/3/2024,Skikda,Agence commerciale,Incident: débit très faible en soirée.,Résiliation,Négatif,Moyenne,Nouveau,Vérifier décodeur
105187,28/6/2025,Biskra,Centre d'appel,Client signale débit très faible en soirée.,Internet lent,Négatif,Moyenne,En cours,Envoi technicien
